congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
117,Senate,40305,49,0,TX,200,,,"CORNYN, John",C001056,1952,,0.474,-0.081,-161.19957,0.80843,758,79,,0.452,-0.133
117,Senate,41304,49,0,TX,200,,,"CRUZ, Rafael Edward (Ted)",C001098,1970,,0.819,-0.231,-68.68805,0.91642,787,31,,0.779,-0.062
117,Senate,41110,67,0,UT,200,,,"LEE, Mike",L000577,1971,,0.89,-0.456,-126.7909,0.85527,811,62,,0.86,-0.51
117,Senate,41902,67,0,UT,200,,,"ROMNEY, Willard Mitt (Mitt)",R000615,1947,,0.292,0.296,-193.98303,0.77705,769,84,,0.287,0.222
117,Senate,14307,6,0,VT,100,,,"LEAHY, Patrick Joseph",L000174,1940,,-0.36,-0.121,-8.059,0.98945,760,3,,-0.399,-0.172
117,Senate,29147,6,0,VT,328,,,"SANDERS, Bernard",S000033,1941,,-0.537,-0.387,-99.17786,0.87377,735,33,,-0.939,-0.309
117,Senate,40909,40,0,VA,100,,,"WARNER, Mark",W000805,1954,,-0.204,-0.045,-12.53057,0.98454,804,2,,-0.29,-0.144
117,Senate,41305,40,0,VA,100,,,"KAINE, Timothy Michael (Tim)",K000384,1958,,-0.245,-0.06,-14.45102,0.98185,789,3,,-0.285,-0.055
117,Senate,39310,73,0,WA,100,,,"CANTWELL, Maria E.",C000127,1958,,-0.305,-0.414,-9.77815,0.98796,807,3,,-0.382,-0.123
117,Senate,49308,73,0,WA,100,,,"MURRAY, Patty",M001111,1950,,-0.352,-0.307,-8.41906,0.9894,790,2,,-0.39,-0.147
117,Senate,20146,56,0,WV,200,,,"CAPITO, Shelley Moore",C001047,1953,,0.274,0.093,-153.65509,0.82264,787,54,,0.327,0.087
117,Senate,40915,56,0,WV,100,,,"MANCHIN, Joe, III",M001183,1947,,-0.059,0.415,-71.9985,0.91095,772,21,,-0.074,0.349
117,Senate,29940,25,0,WI,100,,,"BALDWIN, Tammy",B001230,1962,,-0.493,-0.136,-21.62235,0.97379,814,10,,-0.474,-0.006
117,Senate,41111,25,0,WI,200,,,"JOHNSON, Ron",J000293,1955,,0.62,-0.171,-126.51787,0.84793,767,54,,0.602,0.046
117,Senate,20953,68,0,WY,200,,,"LUMMIS, Cynthia M.",L000571,1954,,0.69,-0.358,-123.41203,0.85191,770,53,,0.72,-0.342
117,Senate,40707,68,0,WY,200,,,"BARRASSO, John A.",B001261,1952,,0.537,0.214,-111.44224,0.86394,762,41,,0.544,0.13
