,firstname,lastname,party,total,individual,pac,contributor,race,state,icpsr
11,john,hoeven,republican,11806,1806,10000,ConocoPhillips,NDS1,ND,41107
12,john,hoeven,republican,11600,11600,0,Daniel Companies,NDS1,ND,41107
13,john,hoeven,republican,11600,11600,0,Forcht Group of Kentucky,NDS1,ND,41107
14,john,hoeven,republican,11600,11600,0,Hunt Companies,NDS1,ND,41107
15,john,hoeven,republican,11600,11600,0,Bobby Cox Companies,NDS1,ND,41107
16,john,hoeven,republican,11600,11600,0,Lmbi Lp,NDS1,ND,41107
17,john,hoeven,republican,11600,11600,0,Reliance Telephone,NDS1,ND,41107
18,john,hoeven,republican,11600,11600,0,Standard Industries,NDS1,ND,41107
19,john,hoeven,republican,11550,11550,0,State of North Dakota,NDS1,ND,41107
0,tom,cotton,republican,49035,49035,0,Apollo Global Management,ARS1,AR,21301
1,tom,cotton,republican,33550,33550,0,Pro-israel America PAC,ARS1,AR,21301
2,tom,cotton,republican,26325,21325,5000,Stephens Group,ARS1,AR,21301
3,tom,cotton,republican,25400,25400,0,McNa Dental Plans,ARS1,AR,21301
4,tom,cotton,republican,22400,22400,0,Reyes Holdings,ARS1,AR,21301
5,tom,cotton,republican,20849,14849,6000,Wells Fargo,ARS1,AR,21301
6,tom,cotton,republican,20561,15561,5000,Walmart Inc,ARS1,AR,21301
7,tom,cotton,republican,16800,16800,0,Amway/Alticor Inc,ARS1,AR,21301
8,tom,cotton,republican,15875,5875,10000,Murphy Oil,ARS1,AR,21301
9,tom,cotton,republican,14413,14413,0,Blackstone Group                        ,ARS1,AR,21301
10,tom,cotton,republican,14225,14225,0,"Paul, Weiss et al",ARS1,AR,21301
11,tom,cotton,republican,13305,8305,5000,Bank of America,ARS1,AR,21301
12,tom,cotton,republican,12791,2791,10000,Boeing Co,ARS1,AR,21301
13,tom,cotton,republican,12500,2500,10000,American Forest & Paper Assn,ARS1,AR,21301
14,tom,cotton,republican,12500,2500,10000,Experian,ARS1,AR,21301
15,tom,cotton,republican,11665,1165,10500,Raytheon Technologies,ARS1,AR,21301
16,tom,cotton,republican,11600,6600,5000,Senate Conservatives Fund,ARS1,AR,21301
17,tom,cotton,republican,11300,11300,0,Sembler Co,ARS1,AR,21301
18,tom,cotton,republican,11200,11200,0,Dyke Industries,ARS1,AR,21301
19,tom,cotton,republican,11200,11200,0,Arizona Diamondbacks,ARS1,AR,21301
0,richard,blumenthal,democrat,146513,138613,7900,American Israel Public Affairs Cmte,CTS2,CT,41101
1,richard,blumenthal,democrat,83100,83100,0,"Paul, Weiss et al",CTS2,CT,41101
2,richard,blumenthal,democrat,76400,76400,0,Apollo Global Management,CTS2,CT,41101
3,richard,blumenthal,democrat,51600,51600,0,Pro-Israel America PAC,CTS2,CT,41101
4,richard,blumenthal,democrat,47700,40200,7500,Charter Communications,CTS2,CT,41101
5,richard,blumenthal,democrat,41099,41099,0,Gori Law Firm,CTS2,CT,41101
6,richard,blumenthal,democrat,34100,24100,10000,Comcast Corp,CTS2,CT,41101
7,richard,blumenthal,democrat,33600,33600,0,Simmons Hanly Conroy,CTS2,CT,41101
8,richard,blumenthal,democrat,31900,31900,0,Entertainment Studios,CTS2,CT,41101
9,richard,blumenthal,democrat,31430,31430,0,Yale University,CTS2,CT,41101
10,richard,blumenthal,democrat,29282,29282,0,"Koskoff, Koskoff & Bieder",CTS2,CT,41101
11,richard,blumenthal,democrat,27750,27750,0,Motley Rice LLC,CTS2,CT,41101
12,richard,blumenthal,democrat,27300,27300,0,"Wachtell, Lipton et al                  ",CTS2,CT,41101
13,richard,blumenthal,democrat,26648,26648,0,"Lieff, Cabraser et al",CTS2,CT,41101
14,richard,blumenthal,democrat,26600,26600,0,Belfer Management,CTS2,CT,41101
15,richard,blumenthal,democrat,26550,26550,0,General Dynamics,CTS2,CT,41101
16,richard,blumenthal,democrat,25100,25100,0,Kirby McInerney Llp,CTS2,CT,41101
17,richard,blumenthal,democrat,24000,24000,0,Clifford Law Offices,CTS2,CT,41101
18,richard,blumenthal,democrat,23533,23533,0,Power Rogers Llp,CTS2,CT,41101
19,richard,blumenthal,democrat,23200,23200,0,Starkey Hearing Technologies,CTS2,CT,41101
0,joe,manchin,democrat,100000,0,100000,West Virginia State Democratic Exec Cmte,WVS1,WV,40915
1,joe,manchin,democrat,86400,86400,0,Capital Group,WVS1,WV,40915
2,joe,manchin,democrat,80425,80425,0,Mylan Inc,WVS1,WV,40915
3,joe,manchin,democrat,56000,46000,10000,Goldman Sachs,WVS1,WV,40915
4,joe,manchin,democrat,46425,43925,2500,Steptoe & Johnson,WVS1,WV,40915
5,joe,manchin,democrat,45900,45900,0,Wexford Capital,WVS1,WV,40915
6,joe,manchin,democrat,41800,41800,0,NorPAC,WVS1,WV,40915
7,joe,manchin,democrat,41700,31700,10000,Capital Group Companies,WVS1,WV,40915
8,joe,manchin,democrat,32400,32400,0,"Wilson, Sonsini et al",WVS1,WV,40915
9,joe,manchin,democrat,27603,17603,10000,Comcast Corp,WVS1,WV,40915
10,joe,manchin,democrat,27500,27500,0,"Paul, Weiss et al",WVS1,WV,40915
11,joe,manchin,democrat,24900,19900,5000,Drummond Co,WVS1,WV,40915
12,joe,manchin,democrat,23450,23450,0,"Power, Rogers & Smith",WVS1,WV,40915
13,joe,manchin,democrat,21600,21600,0,Ares Management,WVS1,WV,40915
14,joe,manchin,democrat,20450,10450,10000,General Atomics,WVS1,WV,40915
15,joe,manchin,democrat,19900,19900,0,Centerview Partners,WVS1,WV,40915
16,joe,manchin,democrat,18700,16200,2500,Loews Corp,WVS1,WV,40915
17,joe,manchin,democrat,17200,17200,0,N3,WVS1,WV,40915
18,joe,manchin,democrat,17000,9000,8000,DCI Group,WVS1,WV,40915
19,joe,manchin,democrat,16800,16800,0,Mostyn Law Firm,WVS1,WV,40915
0,gary,peters,democrat,543528,543528,0,University of Michigan,MIS1,MI,20923
1,gary,peters,democrat,238046,231046,7000,Alphabet Inc,MIS1,MI,20923
2,gary,peters,democrat,180556,180556,0,University of California                ,MIS1,MI,20923
3,gary,peters,democrat,161708,161708,0,Michigan State University,MIS1,MI,20923
4,gary,peters,democrat,124135,115635,8500,Goldman Sachs,MIS1,MI,20923
5,gary,peters,democrat,111192,111192,0,Democracy Engine,MIS1,MI,20923
6,gary,peters,democrat,110570,110570,0,State of Michigan                       ,MIS1,MI,20923
7,gary,peters,democrat,110371,100371,10000,Microsoft Corp,MIS1,MI,20923
8,gary,peters,democrat,102753,93753,9000,Henry Ford Health System,MIS1,MI,20923
9,gary,peters,democrat,98065,93065,5000,General Motors,MIS1,MI,20923
10,gary,peters,democrat,91718,85718,6000,Walt Disney Co,MIS1,MI,20923
11,gary,peters,democrat,89811,79811,10000,Amazon.com,MIS1,MI,20923
12,gary,peters,democrat,85531,80531,5000,Blue Cross/Blue Shield,MIS1,MI,20923
13,gary,peters,democrat,85492,85492,0,Apple Inc,MIS1,MI,20923
14,gary,peters,democrat,84884,84884,0,Blackstone Group,MIS1,MI,20923
15,gary,peters,democrat,82771,79271,3500,Ford Motor Co,MIS1,MI,20923
16,gary,peters,democrat,73717,73717,0,Wayne State University,MIS1,MI,20923
17,gary,peters,democrat,70253,65253,5000,Facebook Inc,MIS1,MI,20923
18,gary,peters,democrat,66327,66327,0,US Government,MIS1,MI,20923
19,gary,peters,democrat,64164,54164,10000,American Airlines Group,MIS1,MI,20923
0,dick,durbin,democrat,62060,62060,0,State of Illinois,ILS1,IL,15021
1,dick,durbin,democrat,56066,56066,0,Power Rogers LLP,ILS1,IL,15021
2,dick,durbin,democrat,50600,50600,0,Votesane PAC,ILS1,IL,15021
3,dick,durbin,democrat,47281,39281,8000,United Airlines Holdings,ILS1,IL,15021
4,dick,durbin,democrat,45706,45706,0,Kirkland & Ellis,ILS1,IL,15021
5,dick,durbin,democrat,42750,42750,0,Simmons Hanly Conroy,ILS1,IL,15021
6,dick,durbin,democrat,36448,36448,0,Jenner & Block,ILS1,IL,15021
7,dick,durbin,democrat,35800,35800,0,GCM Grosvenor,ILS1,IL,15021
8,dick,durbin,democrat,32675,23675,9000,General Dynamics,ILS1,IL,15021
9,dick,durbin,democrat,32049,27649,4400,AAR Corp,ILS1,IL,15021
10,dick,durbin,democrat,24883,24883,0,Cooney & Conway,ILS1,IL,15021
11,dick,durbin,democrat,24310,24310,0,Corboy & Demetrio,ILS1,IL,15021
12,dick,durbin,democrat,23021,23021,0,University of Illinois                  ,ILS1,IL,15021
13,dick,durbin,democrat,20291,12791,7500,Comcast Corp,ILS1,IL,15021
14,dick,durbin,democrat,20150,15150,5000,General Atomics,ILS1,IL,15021
15,dick,durbin,democrat,19906,11906,8000,Microsoft Corp,ILS1,IL,15021
16,dick,durbin,democrat,19750,19750,0,Clifford Law Offices,ILS1,IL,15021
17,dick,durbin,democrat,19315,19315,0,University of Chicago,ILS1,IL,15021
18,dick,durbin,democrat,19115,12115,7000,J Street,ILS1,IL,15021
19,dick,durbin,democrat,18818,18818,0,Apollo Global Management,ILS1,IL,15021
20,roger,marshall,republican,43600,43600,0,Nueterra Capital,KSS1,KS,21734
21,roger,marshall,republican,32500,22500,10000,Poet LLC,KSS1,KS,21734
22,roger,marshall,republican,22036,12036,10000,Burns & McDonnell,KSS1,KS,21734
23,roger,marshall,republican,20200,12400,7800,Susan B Anthony List,KSS1,KS,21734
24,roger,marshall,republican,20000,20000,0,Watco Companies,KSS1,KS,21734
25,roger,marshall,republican,19100,9100,10000,Goldman Sachs,KSS1,KS,21734
26,roger,marshall,republican,18900,18900,0,Bukaty Companies,KSS1,KS,21734
27,roger,marshall,republican,17600,7600,10000,Bristol-Myers Squibb,KSS1,KS,21734
28,roger,marshall,republican,16800,16800,0,Innovative Livestock Services,KSS1,KS,21734
29,roger,marshall,republican,16635,6635,10000,Koch Industries,KSS1,KS,21734
30,roger,marshall,republican,15600,5600,10000,Rock Holdings,KSS1,KS,21734
31,roger,marshall,republican,15100,100,15000,American Medical Assn,KSS1,KS,21734
32,roger,marshall,republican,14820,7320,7500,Kansas City Southern,KSS1,KS,21734
33,roger,marshall,republican,14500,2000,12500,Alston & Bird,KSS1,KS,21734
34,roger,marshall,republican,14200,14200,0,P&B Insurance Agency,KSS1,KS,21734
35,roger,marshall,republican,13900,13900,0,Blackstone Group,KSS1,KS,21734
36,roger,marshall,republican,13100,5600,7500,Crawford Group,KSS1,KS,21734
37,roger,marshall,republican,13070,70,13000,United Parcel Service,KSS1,KS,21734
38,roger,marshall,republican,12575,2575,10000,Spirit Aerosystems,KSS1,KS,21734
39,roger,marshall,republican,12500,2500,10000,CRH PLC,KSS1,KS,21734
0,tom,carper,democrat,59200,49200,10000,MetLife Inc,DES1,DE,15015
1,tom,carper,democrat,49249,49249,0,Democracy Engine,DES1,DE,15015
2,tom,carper,democrat,30200,21200,9000,DowDuPont,DES1,DE,15015
3,tom,carper,democrat,28725,18725,10000,Goldman Sachs,DES1,DE,15015
4,tom,carper,democrat,28500,18500,10000,Discover Financial Services,DES1,DE,15015
5,tom,carper,democrat,23155,13155,10000,Merck & Co,DES1,DE,15015
6,tom,carper,democrat,21375,13875,7500,JPMorgan Chase & Co,DES1,DE,15015
7,tom,carper,democrat,18900,18900,0,"Kleiner, Perkins et al",DES1,DE,15015
8,tom,carper,democrat,18690,18690,0,"Young, Conaway et al",DES1,DE,15015
9,tom,carper,democrat,18500,13500,5000,Hallmark Cards,DES1,DE,15015
10,tom,carper,democrat,18300,18300,0,Bowles & Co,DES1,DE,15015
11,tom,carper,democrat,16110,11110,5000,King & Spalding,DES1,DE,15015
12,tom,carper,democrat,15800,5800,10000,Pfizer Inc,DES1,DE,15015
13,tom,carper,democrat,15400,5400,10000,Amgen Inc,DES1,DE,15015
14,tom,carper,democrat,15400,5400,10000,League of Conservation Voters,DES1,DE,15015
15,tom,carper,democrat,15100,5100,10000,Wells Fargo,DES1,DE,15015
16,tom,carper,democrat,15000,5000,10000,New York Life Insurance,DES1,DE,15015
17,tom,carper,democrat,15000,5000,10000,Visa Inc,DES1,DE,15015
18,tom,carper,democrat,14600,14600,0,"Welsh, Carson et al",DES1,DE,15015
19,tom,carper,democrat,14528,4528,10000,Bank of America,DES1,DE,15015
0,todd,young,republican,218220,218220,0,Democracy Engine,INS2,IN,21133
1,todd,young,republican,90500,88400,2100,American Israel Public Affairs Cmte,INS2,IN,21133
2,todd,young,republican,56400,49900,6500,Blue Cross/Blue Shield,INS2,IN,21133
3,todd,young,republican,54950,43950,11000,Apollo Global Management,INS2,IN,21133
4,todd,young,republican,44584,41084,3500,Barnes & Thornburg,INS2,IN,21133
5,todd,young,republican,40960,40960,0,"Welsh, Carson et al                     ",INS2,IN,21133
6,todd,young,republican,36200,26200,10000,Alphabet Inc,INS2,IN,21133
7,todd,young,republican,35410,35410,0,Capital Group,INS2,IN,21133
8,todd,young,republican,30550,23550,7000,DISH Network,INS2,IN,21133
9,todd,young,republican,28850,25850,3000,Cummins Inc,INS2,IN,21133
10,todd,young,republican,27194,27194,0,State of Indiana,INS2,IN,21133
11,todd,young,republican,24115,16365,7750,"Akin, Gump et al",INS2,IN,21133
12,todd,young,republican,23850,23850,0,Shepherd Insurance,INS2,IN,21133
13,todd,young,republican,23800,13800,10000,American United Life Insurance,INS2,IN,21133
14,todd,young,republican,23499,23499,0,Ice Miller LLP,INS2,IN,21133
15,todd,young,republican,22200,17700,4500,"Brownstein, Hyatt et al",INS2,IN,21133
16,todd,young,republican,22050,12050,10000,Novocure Inc,INS2,IN,21133
17,todd,young,republican,21250,16250,5000,Exelon Corp,INS2,IN,21133
18,todd,young,republican,20600,11600,9000,Duke Energy,INS2,IN,21133
19,todd,young,republican,19300,16800,2500,Berkshire Hathaway,INS2,IN,21133
0,lisa,murkowski,republican,49566,49566,0,KKR & Co,AKS2,AK,40300
1,lisa,murkowski,republican,40350,30350,10000,ConocoPhillips,AKS2,AK,40300
2,lisa,murkowski,republican,36250,33150,3100,Trident Seafoods,AKS2,AK,40300
3,lisa,murkowski,republican,34000,24000,10000,American Israel Public Affairs Cmte,AKS2,AK,40300
4,lisa,murkowski,republican,33700,23700,10000,BlackRock Inc,AKS2,AK,40300
5,lisa,murkowski,republican,32950,30450,2500,NextEra Energy,AKS2,AK,40300
6,lisa,murkowski,republican,31250,31250,0,NorPAC,AKS2,AK,40300
7,lisa,murkowski,republican,29700,29700,0,Blackstone Group,AKS2,AK,40300
8,lisa,murkowski,republican,25500,16500,9000,Alphabet Inc,AKS2,AK,40300
9,lisa,murkowski,republican,25400,21900,3500,Exelon Corp,AKS2,AK,40300
10,lisa,murkowski,republican,25200,25200,0,Apollo Global Management,AKS2,AK,40300
11,lisa,murkowski,republican,24266,20266,4000,Saltchuk,AKS2,AK,40300
12,lisa,murkowski,republican,23800,23800,0,Qurate Retail,AKS2,AK,40300
13,lisa,murkowski,republican,23200,23200,0,Freedom Road LLC (Colorado),AKS2,AK,40300
14,lisa,murkowski,republican,23200,23200,0,Hunt Companies,AKS2,AK,40300
15,lisa,murkowski,republican,22856,12856,10000,Chevron Corp,AKS2,AK,40300
16,lisa,murkowski,republican,22250,2250,20000,Wells Fargo,AKS2,AK,40300
17,lisa,murkowski,republican,19800,12800,7000,Alaska Air Group,AKS2,AK,40300
18,lisa,murkowski,republican,17400,17400,0,Walton Family Foundation,AKS2,AK,40300
19,lisa,murkowski,republican,17100,7100,10000,Rock Holdings,AKS2,AK,40300
0,michael,bennet,democrat,232232,232232,0,Democracy Engine,COS1,CO,40910
1,michael,bennet,democrat,75800,65800,10000,American Israel Public Affairs Cmte,COS1,CO,40910
2,michael,bennet,democrat,66087,66087,0,University of Colorado,COS1,CO,40910
3,michael,bennet,democrat,54300,54300,0,"Paul, Weiss et al",COS1,CO,40910
4,michael,bennet,democrat,53300,53300,0,Blackstone Group,COS1,CO,40910
5,michael,bennet,democrat,52500,52500,0,Votesane PAC,COS1,CO,40910
6,michael,bennet,democrat,47450,47450,0,DISH Network,COS1,CO,40910
7,michael,bennet,democrat,45925,40925,5000,Arnold & Porter Kaye Scholer,COS1,CO,40910
8,michael,bennet,democrat,45500,45500,0,Apollo Global Management,COS1,CO,40910
9,michael,bennet,democrat,39025,39025,0,Alphabet Inc,COS1,CO,40910
10,michael,bennet,democrat,36700,36700,0,Wilmerhale LLP,COS1,CO,40910
11,michael,bennet,democrat,36605,36605,0,State of Colorado,COS1,CO,40910
12,michael,bennet,democrat,31900,31900,0,BlackRock Inc,COS1,CO,40910
13,michael,bennet,democrat,31400,31400,0,J Street,COS1,CO,40910
14,michael,bennet,democrat,27333,27333,0,Council for a Livable World,COS1,CO,40910
15,michael,bennet,democrat,26100,26100,0,Comcast Corp,COS1,CO,40910
16,michael,bennet,democrat,24950,24950,0,University of California,COS1,CO,40910
17,michael,bennet,democrat,23700,23700,0,Warner Brothers Discovery,COS1,CO,40910
18,michael,bennet,democrat,23200,23200,0,Varana Capital,COS1,CO,40910
19,michael,bennet,democrat,23200,23200,0,"Kleiner, Perkins et al",COS1,CO,40910
20,kevin,cramer,republican,63900,63900,0,Energy Transfer Partners,NDS2,ND,21350
21,kevin,cramer,republican,47400,0,47400,National Republican Senatorial Cmte,NDS2,ND,21350
22,kevin,cramer,republican,44850,44850,0,Ellingson Companies,NDS2,ND,21350
23,kevin,cramer,republican,32166,22166,10000,Alliance Coal,NDS2,ND,21350
24,kevin,cramer,republican,27550,27550,0,State of North Dakota,NDS2,ND,21350
25,kevin,cramer,republican,27000,27000,0,Blackstone Group,NDS2,ND,21350
26,kevin,cramer,republican,26500,19000,7500,Marathon Oil,NDS2,ND,21350
27,kevin,cramer,republican,21600,21600,0,Alticor Inc,NDS2,ND,21350
28,kevin,cramer,republican,21600,21600,0,Yancy Brothers Co,NDS2,ND,21350
29,kevin,cramer,republican,20400,20400,0,Oasis Petroleum,NDS2,ND,21350
30,kevin,cramer,republican,19900,19900,0,Mbi Energy Services,NDS2,ND,21350
31,kevin,cramer,republican,19200,17700,1500,DaVita Inc,NDS2,ND,21350
32,kevin,cramer,republican,18500,18500,0,Jennmar Corp,NDS2,ND,21350
33,kevin,cramer,republican,18100,8100,10000,Devon Energy,NDS2,ND,21350
34,kevin,cramer,republican,17700,17700,0,University of North Dakota,NDS2,ND,21350
35,kevin,cramer,republican,17600,7600,10000,Republican Jewish Coalition,NDS2,ND,21350
36,kevin,cramer,republican,16200,16200,0,Cardon Global,NDS2,ND,21350
37,kevin,cramer,republican,16200,16200,0,Freeman Spogli & Co,NDS2,ND,21350
38,kevin,cramer,republican,16200,16200,0,TCW Group,NDS2,ND,21350
39,kevin,cramer,republican,16200,16200,0,Tharaldson Hospitality,NDS2,ND,21350
0,john,boozman,republican,176992,176992,0,Votesane PAC,ARS2,AR,20101
1,john,boozman,republican,64500,64500,0,Pro-Israel America PAC,ARS2,AR,20101
2,john,boozman,republican,54350,44350,10000,Stephens Inc,ARS2,AR,20101
3,john,boozman,republican,49100,49100,0,2022 Senators Classic,ARS2,AR,20101
4,john,boozman,republican,38750,28750,10000,Tyson Foods,ARS2,AR,20101
5,john,boozman,republican,33800,33800,0,McKee Foods,ARS2,AR,20101
6,john,boozman,republican,32930,22930,10000,Walmart Inc,ARS2,AR,20101
7,john,boozman,republican,28300,23300,5000,General Atomics,ARS2,AR,20101
8,john,boozman,republican,25000,20000,5000,NextEra Energy,ARS2,AR,20101
9,john,boozman,republican,23200,23200,0,FTX.US,ARS2,AR,20101
10,john,boozman,republican,22500,22500,0,NorPAC,ARS2,AR,20101
11,john,boozman,republican,22200,22200,0,Stephens Group,ARS2,AR,20101
12,john,boozman,republican,19800,10800,9000,"Brownstein, Hyatt et al",ARS2,AR,20101
13,john,boozman,republican,19500,9500,10000,Comcast Corp,ARS2,AR,20101
14,john,boozman,republican,19450,19450,0,Cornerstone Government Affairs,ARS2,AR,20101
15,john,boozman,republican,18523,14900,3623,Van Scoyoc Assoc,ARS2,AR,20101
16,john,boozman,republican,17400,17400,0,Starkey Hearing Technologies,ARS2,AR,20101
17,john,boozman,republican,16900,16900,0,Maxwell Hardwood Flooring,ARS2,AR,20101
18,john,boozman,republican,15922,15922,0,Energy Transfer LP,ARS2,AR,20101
19,john,boozman,republican,15500,15500,0,Blackstone Group,ARS2,AR,20101
0,tammy,duckworth,democrat,170570,160570,10000,EMILY's List,ILS2,IL,21325
1,tammy,duckworth,democrat,75404,75404,0,Democracy Engine,ILS2,IL,21325
2,tammy,duckworth,democrat,48900,48900,0,Simmons Hanly Conroy,ILS2,IL,21325
3,tammy,duckworth,democrat,44286,43286,1000,United Airlines Holdings,ILS2,IL,21325
4,tammy,duckworth,democrat,35750,34750,1000,J Street,ILS2,IL,21325
5,tammy,duckworth,democrat,35630,25630,10000,Bunge Ltd,ILS2,IL,21325
6,tammy,duckworth,democrat,32331,24831,7500,Centene Corp,ILS2,IL,21325
7,tammy,duckworth,democrat,31280,28280,3000,L3Harris Technologies,ILS2,IL,21325
8,tammy,duckworth,democrat,26710,26710,0,State of Illinois                       ,ILS2,IL,21325
9,tammy,duckworth,democrat,25250,25250,0,AAR Corp,ILS2,IL,21325
10,tammy,duckworth,democrat,23200,23200,0,Clifford Law Offices,ILS2,IL,21325
11,tammy,duckworth,democrat,21340,21340,0,Mesirow Financial,ILS2,IL,21325
12,tammy,duckworth,democrat,21095,17970,3125,League of Conservation Voters,ILS2,IL,21325
13,tammy,duckworth,democrat,19400,19400,0,Power Rogers Llp,ILS2,IL,21325
14,tammy,duckworth,democrat,19145,19145,0,Cooney & Conway,ILS2,IL,21325
15,tammy,duckworth,democrat,18605,11605,7000,Blue Cross/Blue Shield,ILS2,IL,21325
16,tammy,duckworth,democrat,17933,17933,0,Marquis Energy,ILS2,IL,21325
17,tammy,duckworth,democrat,16374,13874,2500,Alphabet Inc,ILS2,IL,21325
18,tammy,duckworth,democrat,15800,5800,10000,American Israel Public Affairs Cmte,ILS2,IL,21325
19,tammy,duckworth,democrat,15800,15800,0,Kirkland & Ellis,ILS2,IL,21325
0,debbie,stabenow,democrat,208170,198170,10000,EMILY's List,MIS2,MI,29732
1,debbie,stabenow,democrat,135423,135423,0,University of Michigan,MIS2,MI,29732
2,debbie,stabenow,democrat,101000,101000,0,Votesane PAC,MIS2,MI,29732
3,debbie,stabenow,democrat,94800,0,94800,Democratic Senatorial Campaign Cmte,MIS2,MI,29732
4,debbie,stabenow,democrat,94800,0,94800,Democratic Senatorial Campaign Cmte,MIS2,MI,29732
5,debbie,stabenow,democrat,87675,87675,0,"Paul, Weiss et al",MIS2,MI,29732
6,debbie,stabenow,democrat,79097,73597,5500,DowDuPont,MIS2,MI,29732
7,debbie,stabenow,democrat,69793,69793,0,Democracy Engine,MIS2,MI,29732
8,debbie,stabenow,democrat,58668,50668,8000,DTE Energy,MIS2,MI,29732
9,debbie,stabenow,democrat,57968,51968,6000,Henry Ford Health System,MIS2,MI,29732
10,debbie,stabenow,democrat,57090,47090,10000,Quicken Loans,MIS2,MI,29732
11,debbie,stabenow,democrat,54350,54350,0,Blue Cross/Blue Shield,MIS2,MI,29732
12,debbie,stabenow,democrat,49995,39995,10000,Goldman Sachs,MIS2,MI,29732
13,debbie,stabenow,democrat,45228,35228,10000,Ford Motor Co,MIS2,MI,29732
14,debbie,stabenow,democrat,42500,42500,0,NorPAC,MIS2,MI,29732
15,debbie,stabenow,democrat,41963,31963,10000,Citigroup Inc,MIS2,MI,29732
16,debbie,stabenow,democrat,38200,28200,10000,Delta Dental Plans Assn,MIS2,MI,29732
17,debbie,stabenow,democrat,37133,37113,20,Womencount PAC,MIS2,MI,29732
18,debbie,stabenow,democrat,36010,26010,10000,JPMorgan Chase & Co,MIS2,MI,29732
19,debbie,stabenow,democrat,35823,35823,0,Michigan State University,MIS2,MI,29732
20,debbie,stabenow,democrat,35500,35500,0,Sterling Group,MIS2,MI,29732
0,jerry,moran,republican,129925,129925,0,Votesane PAC,KSS2,KS,29722
1,jerry,moran,republican,67000,57000,10000,American Israel Public Affairs Cmte,KSS2,KS,29722
2,jerry,moran,republican,43600,33600,10000,DISH Network,KSS2,KS,29722
3,jerry,moran,republican,36800,36800,0,Apollo Global Management,KSS2,KS,29722
4,jerry,moran,republican,31950,24950,7000,Cox Enterprises                         ,KSS2,KS,29722
5,jerry,moran,republican,26400,16400,10000,Comcast Corp,KSS2,KS,29722
6,jerry,moran,republican,24800,24800,0,NorPAC,KSS2,KS,29722
7,jerry,moran,republican,24500,17000,7500,NextEra Energy,KSS2,KS,29722
8,jerry,moran,republican,24000,24000,0,GEO Group,KSS2,KS,29722
9,jerry,moran,republican,23050,18050,5000,Berkshire Hathaway,KSS2,KS,29722
10,jerry,moran,republican,22100,22100,0,General Atomics,KSS2,KS,29722
11,jerry,moran,republican,21000,21000,0,Kit Bond Strategies,KSS2,KS,29722
12,jerry,moran,republican,17400,17400,0,Castle Harlan Inc,KSS2,KS,29722
13,jerry,moran,republican,17000,7000,10000,National Assn of Broadcasters,KSS2,KS,29722
14,jerry,moran,republican,15922,15922,0,Energy Transfer LP,KSS2,KS,29722
15,jerry,moran,republican,14753,14753,0,Walter Oil & Gas,KSS2,KS,29722
16,jerry,moran,republican,14400,4400,10000,Microsoft Corp,KSS2,KS,29722
