,firstname,lastname,party,amount,contributor,race
35,john,hickenlooper,democrat,51865,Kaiser Permanente,COS2
36,john,hickenlooper,democrat,47436,Liberty Media Corp,COS2
37,john,hickenlooper,democrat,45986,IBM Corp,COS2
38,john,hickenlooper,democrat,43200,Insight Partners,COS2
39,john,hickenlooper,democrat,42569,Colorado State University,COS2
40,bruce,lohmiller,other,0,,COS2
41,gaylon,kent,other,0,,COS2
42,raymon,doane,other,0,,COS2
43,veronique,bellamy,other,0,,COS2
44,joshua,rodriguez,other,0,,COS2
45,joey,camp,other,0,,COS2
46,lisa,garcia,other,0,,COS2
47,martha,wolf,other,0,,COS2
48,daniel,doyle,other,0,,COS2
49,danny,skelly,other,0,,COS2
0,john,hoeven,republican,47850,American Israel Public Affairs Cmte,NDS1
1,john,hoeven,republican,39800,Pro-Israel America PAC,NDS1
2,john,hoeven,republican,24731,Blackstone Group,NDS1
3,john,hoeven,republican,23400,Hess Corp,NDS1
4,john,hoeven,republican,23200,FTX.US,NDS1
5,john,hoeven,republican,21520,Elingson Companies,NDS1
6,john,hoeven,republican,18422,Energy Transfer LP,NDS1
7,john,hoeven,republican,17100,General Atomics,NDS1
8,john,hoeven,republican,15900,MDU Resources Group,NDS1
9,john,hoeven,republican,14753,Walter Oil & Gas,NDS1
10,john,hoeven,republican,12550,American Crystal Sugar,NDS1
11,john,hoeven,republican,11806,ConocoPhillips,NDS1
12,john,hoeven,republican,11600,Daniel Companies,NDS1
13,john,hoeven,republican,11600,Forcht Group of Kentucky,NDS1
14,john,hoeven,republican,11600,Hunt Companies,NDS1
15,john,hoeven,republican,11600,Bobby Cox Companies,NDS1
16,john,hoeven,republican,11600,Lmbi Lp,NDS1
17,john,hoeven,republican,11600,Reliance Telephone,NDS1
18,john,hoeven,republican,11600,Standard Industries,NDS1
19,john,hoeven,republican,11550,State of North Dakota,NDS1
20,katrina,christiansen,democrat,2900,K Rowe Investments,NDS1
21,katrina,christiansen,democrat,2000,Mark Haugen for Congress,NDS1
22,katrina,christiansen,democrat,2000,Mj Engineering,NDS1
23,katrina,christiansen,democrat,1505,Phoenix Seed,NDS1
24,katrina,christiansen,democrat,1100,Hatch Realty,NDS1
25,katrina,christiansen,democrat,1075,Battelle Memorial Institute,NDS1
26,katrina,christiansen,democrat,1000,Baker Family Medicine,NDS1
27,katrina,christiansen,democrat,1000,Iowa State University,NDS1
0,tom,cotton,republican,49035,Apollo Global Management,ARS1
1,tom,cotton,republican,33550,Pro-israel America PAC,ARS1
2,tom,cotton,republican,26325,Stephens Group,ARS1
3,tom,cotton,republican,25400,McNa Dental Plans,ARS1
4,tom,cotton,republican,22400,Reyes Holdings,ARS1
5,tom,cotton,republican,20849,Wells Fargo,ARS1
6,tom,cotton,republican,20561,Walmart Inc,ARS1
7,tom,cotton,republican,16800,Amway/Alticor Inc,ARS1
8,tom,cotton,republican,15875,Murphy Oil,ARS1
9,tom,cotton,republican,14413,Blackstone Group                        ,ARS1
10,tom,cotton,republican,14225,"Paul, Weiss et al",ARS1
11,tom,cotton,republican,13305,Bank of America,ARS1
12,tom,cotton,republican,12791,Boeing Co,ARS1
13,tom,cotton,republican,12500,American Forest & Paper Assn,ARS1
14,tom,cotton,republican,12500,Experian,ARS1
15,tom,cotton,republican,11665,Raytheon Technologies,ARS1
16,tom,cotton,republican,11600,Senate Conservatives Fund,ARS1
17,tom,cotton,republican,11300,Sembler Co,ARS1
18,tom,cotton,republican,11200,Dyke Industries,ARS1
19,tom,cotton,republican,11200,Arizona Diamondbacks,ARS1
20,ricky,dale,other,3050,Alphabet Inc,ARS1
21,ricky,dale,other,2800,Broadsign International,ARS1
22,ricky,dale,other,2800,RMS Management,ARS1
23,ricky,dale,other,1500,Fine Art Painter,ARS1
24,ricky,dale,other,1250,First National Bank,ARS1
25,ricky,dale,other,1000,Institute for Justice,ARS1
26,daniel,whitfield,other,1250,JB Hunt Transport Services,ARS1
27,daniel,whitfield,other,1237,Hannover House,ARS1
28,daniel,whitfield,other,1148,State of Arkansas,ARS1
0,richard,blumenthal,democrat,146513,American Israel Public Affairs Cmte,CTS2
1,richard,blumenthal,democrat,83100,"Paul, Weiss et al",CTS2
2,richard,blumenthal,democrat,76400,Apollo Global Management,CTS2
3,richard,blumenthal,democrat,51600,Pro-Israel America PAC,CTS2
4,richard,blumenthal,democrat,47700,Charter Communications,CTS2
5,richard,blumenthal,democrat,41099,Gori Law Firm,CTS2
6,richard,blumenthal,democrat,34100,Comcast Corp,CTS2
7,richard,blumenthal,democrat,33600,Simmons Hanly Conroy,CTS2
8,richard,blumenthal,democrat,31900,Entertainment Studios,CTS2
9,richard,blumenthal,democrat,31430,Yale University,CTS2
10,richard,blumenthal,democrat,29282,"Koskoff, Koskoff & Bieder",CTS2
11,richard,blumenthal,democrat,27750,Motley Rice LLC,CTS2
12,richard,blumenthal,democrat,27300,"Wachtell, Lipton et al                  ",CTS2
13,richard,blumenthal,democrat,26648,"Lieff, Cabraser et al",CTS2
14,richard,blumenthal,democrat,26600,Belfer Management,CTS2
15,richard,blumenthal,democrat,26550,General Dynamics,CTS2
16,richard,blumenthal,democrat,25100,Kirby McInerney Llp,CTS2
17,richard,blumenthal,democrat,24000,Clifford Law Offices,CTS2
18,richard,blumenthal,democrat,23533,Power Rogers Llp,CTS2
19,richard,blumenthal,democrat,23200,Starkey Hearing Technologies,CTS2
20,leora,levy,republican,15542,Civicom,CTS2
21,leora,levy,republican,11600,Axiom Investors,CTS2
22,leora,levy,republican,11600,G-III Apparel Group,CTS2
23,leora,levy,republican,11600,Kingdon Capital Management,CTS2
24,leora,levy,republican,8700,Tratt Properties,CTS2
25,leora,levy,republican,8700,Great Point Partners,CTS2
26,leora,levy,republican,7800,Lolo LLC,CTS2
27,leora,levy,republican,6505,McMahon Ventures,CTS2
28,leora,levy,republican,5902,Morgan Stanley,CTS2
29,leora,levy,republican,5800,Interactive Brokers,CTS2
30,leora,levy,republican,5800,Hunter Global Investors,CTS2
31,leora,levy,republican,5800,Sp Global,CTS2
32,leora,levy,republican,5800,Red Apple Group                         ,CTS2
33,leora,levy,republican,5800,Hamilton Point Investments,CTS2
34,leora,levy,republican,5800,Bluff Point Assoc,CTS2
35,leora,levy,republican,5800,Certara Inc,CTS2
36,leora,levy,republican,5800,Castle Harlan Inc,CTS2
37,leora,levy,republican,5800,Affiliated Managers Group               ,CTS2
38,leora,levy,republican,5000,Boots PAC,CTS2
39,leora,levy,republican,5000,Badlands PAC,CTS2
40,kristi,talmadge,other,0,,CTS2
0,joe,manchin,democrat,100000,West Virginia State Democratic Exec Cmte,WVS1
1,joe,manchin,democrat,86400,Capital Group,WVS1
2,joe,manchin,democrat,80425,Mylan Inc,WVS1
3,joe,manchin,democrat,56000,Goldman Sachs,WVS1
4,joe,manchin,democrat,46425,Steptoe & Johnson,WVS1
5,joe,manchin,democrat,45900,Wexford Capital,WVS1
6,joe,manchin,democrat,41800,NorPAC,WVS1
7,joe,manchin,democrat,41700,Capital Group Companies,WVS1
8,joe,manchin,democrat,32400,"Wilson, Sonsini et al",WVS1
9,joe,manchin,democrat,27603,Comcast Corp,WVS1
10,joe,manchin,democrat,27500,"Paul, Weiss et al",WVS1
11,joe,manchin,democrat,24900,Drummond Co,WVS1
12,joe,manchin,democrat,23450,"Power, Rogers & Smith",WVS1
13,joe,manchin,democrat,21600,Ares Management,WVS1
14,joe,manchin,democrat,20450,General Atomics,WVS1
15,joe,manchin,democrat,19900,Centerview Partners,WVS1
16,joe,manchin,democrat,18700,Loews Corp,WVS1
17,joe,manchin,democrat,17200,N3,WVS1
18,joe,manchin,democrat,17000,DCI Group,WVS1
19,joe,manchin,democrat,16800,Mostyn Law Firm,WVS1
20,patrick,morrisey,republican,182165,Senate Conservatives Fund,WVS1
21,patrick,morrisey,republican,77501,Club for Growth,WVS1
22,patrick,morrisey,republican,58300,Sidley Austin LLP,WVS1
23,patrick,morrisey,republican,52750,King & Spalding,WVS1
24,patrick,morrisey,republican,47400,National Republican Senatorial Cmte,WVS1
25,patrick,morrisey,republican,42702,Alliance Coal,WVS1
26,patrick,morrisey,republican,41000,Steptoe & Johnson,WVS1
27,patrick,morrisey,republican,32300,Capitol Counsel,WVS1
28,patrick,morrisey,republican,21950,"Gibson, Dunn & Crutcher",WVS1
29,patrick,morrisey,republican,21600,Jennmar Corp,WVS1
30,patrick,morrisey,republican,19850,"Nelson, Mullins et al",WVS1
31,patrick,morrisey,republican,16637,Select Management Resources,WVS1
32,patrick,morrisey,republican,16400,Koch Industries,WVS1
33,patrick,morrisey,republican,16200,American Financial Group,WVS1
34,patrick,morrisey,republican,16200,Saulsbury Industries                              ,WVS1
35,patrick,morrisey,republican,15878,Fluor Corp,WVS1
36,patrick,morrisey,republican,15400,Devon Energy,WVS1
37,patrick,morrisey,republican,13550,"McDermott, Will & Emery",WVS1
38,patrick,morrisey,republican,13500,Fitzgerald Glider Kits,WVS1
39,patrick,morrisey,republican,12200,Populus Financial Group,WVS1
40,rusty,hollen,other,0,,WVS1
0,gary,peters,democrat,543528,University of Michigan,MIS1
1,gary,peters,democrat,238046,Alphabet Inc,MIS1
2,gary,peters,democrat,180556,University of California                ,MIS1
3,gary,peters,democrat,161708,Michigan State University,MIS1
4,gary,peters,democrat,124135,Goldman Sachs,MIS1
5,gary,peters,democrat,111192,Democracy Engine,MIS1
6,gary,peters,democrat,110570,State of Michigan                       ,MIS1
7,gary,peters,democrat,110371,Microsoft Corp,MIS1
8,gary,peters,democrat,102753,Henry Ford Health System,MIS1
9,gary,peters,democrat,98065,General Motors,MIS1
10,gary,peters,democrat,91718,Walt Disney Co,MIS1
11,gary,peters,democrat,89811,Amazon.com,MIS1
12,gary,peters,democrat,85531,Blue Cross/Blue Shield,MIS1
13,gary,peters,democrat,85492,Apple Inc,MIS1
14,gary,peters,democrat,84884,Blackstone Group,MIS1
15,gary,peters,democrat,82771,Ford Motor Co,MIS1
16,gary,peters,democrat,73717,Wayne State University,MIS1
17,gary,peters,democrat,70253,Facebook Inc,MIS1
18,gary,peters,democrat,66327,US Government,MIS1
19,gary,peters,democrat,64164,American Airlines Group,MIS1
20,john,james,republican,227535,Senate Conservatives Fund,MIS1
21,john,james,republican,74500,RDV Corp,MIS1
22,john,james,republican,63675,Penske Corp                             ,MIS1
23,john,james,republican,47150,General Motors,MIS1
24,john,james,republican,43756,Kirkland & Ellis                                  ,MIS1
25,john,james,republican,39750,Lacks Enterprises,MIS1
26,john,james,republican,36515,Ford Motor Co,MIS1
27,john,james,republican,35029,Amway/Alticor Inc,MIS1
28,john,james,republican,34527,Bank of America,MIS1
29,john,james,republican,29933,Procter & Gamble,MIS1
30,john,james,republican,27198,University of Michigan,MIS1
31,john,james,republican,26264,Butzel Long PC,MIS1
32,john,james,republican,25048,Watanabe Ing LLP,MIS1
33,john,james,republican,22851,Haworth Inc,MIS1
34,john,james,republican,22800,Gallagher-Kaiser Corp,MIS1
35,john,james,republican,22605,Suburban Collection,MIS1
36,john,james,republican,22450,Club for Growth,MIS1
37,john,james,republican,22443,Kent Companies,MIS1
38,john,james,republican,22440,Ashley Furniture,MIS1
39,john,james,republican,22400,Amscot Financial,MIS1
40,doug,dern,other,0,,MIS1
41,marcia,squier,other,0,,MIS1
42,seldon,frank,other,0,,MIS1
43,gregory,jones,other,0,,MIS1
0,dick,durbin,democrat,62060,State of Illinois,ILS1
1,dick,durbin,democrat,56066,Power Rogers LLP,ILS1
2,dick,durbin,democrat,50600,Votesane PAC,ILS1
3,dick,durbin,democrat,47281,United Airlines Holdings,ILS1
4,dick,durbin,democrat,45706,Kirkland & Ellis,ILS1
5,dick,durbin,democrat,42750,Simmons Hanly Conroy,ILS1
6,dick,durbin,democrat,36448,Jenner & Block,ILS1
7,dick,durbin,democrat,35800,GCM Grosvenor,ILS1
8,dick,durbin,democrat,32675,General Dynamics,ILS1
9,dick,durbin,democrat,32049,AAR Corp,ILS1
10,dick,durbin,democrat,24883,Cooney & Conway,ILS1
11,dick,durbin,democrat,24310,Corboy & Demetrio,ILS1
12,dick,durbin,democrat,23021,University of Illinois                  ,ILS1
13,dick,durbin,democrat,20291,Comcast Corp,ILS1
14,dick,durbin,democrat,20150,General Atomics,ILS1
15,dick,durbin,democrat,19906,Microsoft Corp,ILS1
16,dick,durbin,democrat,19750,Clifford Law Offices,ILS1
17,dick,durbin,democrat,19315,University of Chicago,ILS1
18,dick,durbin,democrat,19115,J Street,ILS1
19,dick,durbin,democrat,18818,Apollo Global Management,ILS1
20,willie,wilson,other,0,,ILS1
21,mark,curran,republican,11200,Lakeview Asset Management,ILS1
22,mark,curran,republican,5600,Fidelity Group,ILS1
23,mark,curran,republican,5600,Family Express Corp,ILS1
24,mark,curran,republican,5600,Open Panting,ILS1
25,mark,curran,republican,5000,Let's Get To Work Pac,ILS1
26,mark,curran,republican,5000,Lets Get to Work PAC,ILS1
27,mark,curran,republican,3080,Cancer Treatment Centers of America,ILS1
28,mark,curran,republican,3000,Family-PAC,ILS1
29,mark,curran,republican,2800,Gleason & Assoc,ILS1
30,mark,curran,republican,2800,Indeck Energy Services,ILS1
31,mark,curran,republican,2800,Mondavi,ILS1
32,mark,curran,republican,2700,Health Partners,ILS1
33,mark,curran,republican,2600,Roark Capital Group,ILS1
34,mark,curran,republican,2500,Lafayette Group,ILS1
35,mark,curran,republican,2500,Marter Enterprise,ILS1
36,mark,curran,republican,2500,Pan Am Mini Storage,ILS1
37,mark,curran,republican,2125,GAS Capital,ILS1
38,mark,curran,republican,2000,Maclean-Fogg Co,ILS1
39,mark,curran,republican,2000,Kirkland & Ellis,ILS1
40,mark,curran,republican,2000,Park Ridge Community Bank,ILS1
41,danny,malouf,other,2500,Harting Inc of North America,ILS1
42,danny,malouf,other,1300,In & Out Painting,ILS1
43,danny,malouf,other,1127,Redmond Construction,ILS1
44,danny,malouf,other,1000,Summit Ridge Group,ILS1
45,patrick,mr.,other,0,,ILS1
46,jule,rushing,other,0,,ILS1
47,david,f.,other,0,,ILS1
0,barbara,bollier,democrat,404957,EMILY's List,KSS1
1,barbara,bollier,democrat,228034,Alphabet Inc,KSS1
2,barbara,bollier,democrat,166234,University of California                ,KSS1
3,barbara,bollier,democrat,139058,University of Kansas,KSS1
4,barbara,bollier,democrat,127609,Democracy Engine,KSS1
5,barbara,bollier,democrat,77675,Microsoft Corp,KSS1
6,barbara,bollier,democrat,72771,Amazon.com,KSS1
7,barbara,bollier,democrat,67739,Harvard University                      ,KSS1
8,barbara,bollier,democrat,67350,Apple Inc,KSS1
9,barbara,bollier,democrat,61246,US Government                           ,KSS1
10,barbara,bollier,democrat,57695,Stanford University,KSS1
11,barbara,bollier,democrat,50793,Facebook Inc,KSS1
12,barbara,bollier,democrat,48488,Walt Disney Co,KSS1
13,barbara,bollier,democrat,45000,Insight Partners,KSS1
14,barbara,bollier,democrat,44000,AT&T Inc,KSS1
15,barbara,bollier,democrat,42614,University of Kansas Medical Center,KSS1
16,barbara,bollier,democrat,39583,"City of New York, NY",KSS1
17,barbara,bollier,democrat,38938,University of Missouri                  ,KSS1
18,barbara,bollier,democrat,34851,Kaiser Permanente,KSS1
19,barbara,bollier,democrat,32275,Massachusetts Institute of Technology,KSS1
20,roger,marshall,republican,43600,Nueterra Capital,KSS1
21,roger,marshall,republican,32500,Poet LLC,KSS1
22,roger,marshall,republican,22036,Burns & McDonnell,KSS1
23,roger,marshall,republican,20200,Susan B Anthony List,KSS1
24,roger,marshall,republican,20000,Watco Companies,KSS1
25,roger,marshall,republican,19100,Goldman Sachs,KSS1
26,roger,marshall,republican,18900,Bukaty Companies,KSS1
27,roger,marshall,republican,17600,Bristol-Myers Squibb,KSS1
28,roger,marshall,republican,16800,Innovative Livestock Services,KSS1
29,roger,marshall,republican,16635,Koch Industries,KSS1
30,roger,marshall,republican,15600,Rock Holdings,KSS1
31,roger,marshall,republican,15100,American Medical Assn,KSS1
32,roger,marshall,republican,14820,Kansas City Southern,KSS1
33,roger,marshall,republican,14500,Alston & Bird,KSS1
34,roger,marshall,republican,14200,P&B Insurance Agency,KSS1
35,roger,marshall,republican,13900,Blackstone Group,KSS1
36,roger,marshall,republican,13100,Crawford Group,KSS1
37,roger,marshall,republican,13070,United Parcel Service,KSS1
38,roger,marshall,republican,12575,Spirit Aerosystems,KSS1
39,roger,marshall,republican,12500,CRH PLC,KSS1
40,paul,tuten,other,0,,KSS1
41,jason,buckley,other,0,,KSS1
0,tom,carper,democrat,59200,MetLife Inc,DES1
1,tom,carper,democrat,49249,Democracy Engine,DES1
2,tom,carper,democrat,30200,DowDuPont,DES1
3,tom,carper,democrat,28725,Goldman Sachs,DES1
4,tom,carper,democrat,28500,Discover Financial Services,DES1
5,tom,carper,democrat,23155,Merck & Co,DES1
6,tom,carper,democrat,21375,JPMorgan Chase & Co,DES1
7,tom,carper,democrat,18900,"Kleiner, Perkins et al",DES1
8,tom,carper,democrat,18690,"Young, Conaway et al",DES1
9,tom,carper,democrat,18500,Hallmark Cards,DES1
10,tom,carper,democrat,18300,Bowles & Co,DES1
11,tom,carper,democrat,16110,King & Spalding,DES1
12,tom,carper,democrat,15800,Pfizer Inc,DES1
13,tom,carper,democrat,15400,Amgen Inc,DES1
14,tom,carper,democrat,15400,League of Conservation Voters,DES1
15,tom,carper,democrat,15100,Wells Fargo,DES1
16,tom,carper,democrat,15000,New York Life Insurance,DES1
17,tom,carper,democrat,15000,Visa Inc,DES1
18,tom,carper,democrat,14600,"Welsh, Carson et al",DES1
19,tom,carper,democrat,14528,Bank of America,DES1
20,rob,arlett,republican,16200,Insight Homes,DES1
21,rob,arlett,republican,16200,Maes,DES1
22,rob,arlett,republican,16200,Neuberger Law,DES1
23,rob,arlett,republican,12800,Hudson Management,DES1
24,rob,arlett,republican,10800,Greggo & Ferrara,DES1
25,rob,arlett,republican,10440,Republican State Cmte of Delaware,DES1
26,rob,arlett,republican,5400,Dyer McCrea Ventures,DES1
27,rob,arlett,republican,5400,Tunnell Companies,DES1
28,rob,arlett,republican,3400,Mosbacher Energy,DES1
29,rob,arlett,republican,2700,American Principles Project,DES1
30,rob,arlett,republican,2700,Rollins Jamaica,DES1
31,rob,arlett,republican,2700,Winner,DES1
32,rob,arlett,republican,2529,Spencer Enterprises,DES1
33,rob,arlett,republican,2500,Golden Hospitality Group,DES1
34,rob,arlett,republican,2400,Jim Parker Builders,DES1
35,rob,arlett,republican,2000,Hodgkins & Assoc,DES1
36,rob,arlett,republican,2000,United Agent Services,DES1
37,rob,arlett,republican,1700,Mica Mosbacher Interests LLC,DES1
38,rob,arlett,republican,1529,Indian River School District,DES1
39,rob,arlett,republican,1500,Onsite Construcion,DES1
40,rob,arlett,republican,1500,Trinity Logistics,DES1
41,demitri,george,other,0,,DES1
42,nadine,frost,other,0,,DES1
0,todd,young,republican,218220,Democracy Engine,INS2
1,todd,young,republican,90500,American Israel Public Affairs Cmte,INS2
2,todd,young,republican,56400,Blue Cross/Blue Shield,INS2
3,todd,young,republican,54950,Apollo Global Management,INS2
4,todd,young,republican,44584,Barnes & Thornburg,INS2
5,todd,young,republican,40960,"Welsh, Carson et al                     ",INS2
6,todd,young,republican,36200,Alphabet Inc,INS2
7,todd,young,republican,35410,Capital Group,INS2
8,todd,young,republican,30550,DISH Network,INS2
9,todd,young,republican,28850,Cummins Inc,INS2
10,todd,young,republican,27194,State of Indiana,INS2
11,todd,young,republican,24115,"Akin, Gump et al",INS2
12,todd,young,republican,23850,Shepherd Insurance,INS2
13,todd,young,republican,23800,American United Life Insurance,INS2
14,todd,young,republican,23499,Ice Miller LLP,INS2
15,todd,young,republican,22200,"Brownstein, Hyatt et al",INS2
16,todd,young,republican,22050,Novocure Inc,INS2
17,todd,young,republican,21250,Exelon Corp,INS2
18,todd,young,republican,20600,Duke Energy,INS2
19,todd,young,republican,19300,Berkshire Hathaway,INS2
20,tom,mcdermott,democrat,35520,"City of Hammond, IN",INS2
21,tom,mcdermott,democrat,11500,"Bose, McKinney & Evans",INS2
22,tom,mcdermott,democrat,10500,Laborers Union,INS2
23,tom,mcdermott,democrat,8950,Woodmar Auto Care & Towing,INS2
24,tom,mcdermott,democrat,8800,Cantrell At Law,INS2
25,tom,mcdermott,democrat,8700,American Structurepoint,INS2
26,tom,mcdermott,democrat,7800,Westland & Bennett,INS2
27,tom,mcdermott,democrat,7250,"Faegre, Drinker et al",INS2
28,tom,mcdermott,democrat,7199,Bellsom Electric,INS2
29,tom,mcdermott,democrat,7110,State Of Indiana,INS2
30,tom,mcdermott,democrat,7000,Teamsters Union,INS2
31,tom,mcdermott,democrat,6500,Peoples Bank (Indiana),INS2
32,tom,mcdermott,democrat,6300,Enviroforensics,INS2
33,tom,mcdermott,democrat,6000,Ingram Group,INS2
34,tom,mcdermott,democrat,5900,Smith Sersic,INS2
35,tom,mcdermott,democrat,5800,Rush University,INS2
36,tom,mcdermott,democrat,5800,Tauber Law Offices,INS2
37,tom,mcdermott,democrat,5800,Bypass Partners LLC,INS2
38,tom,mcdermott,democrat,5700,Bose Public Affairs Group,INS2
39,tom,mcdermott,democrat,5500,Dyer Construction,INS2
40,haneefah,khaaliq,other,2900,Educator Aide LLC,INS2
41,haneefah,khaaliq,other,1350,Dba: Michelle Miller,INS2
42,haneefah,khaaliq,other,1250,Safe Space Life Coaching,INS2
43,haneefah,khaaliq,other,1000,Minority Contractors,INS2
44,haneefah,khaaliq,other,1000,Ee Powell Realty,INS2
45,james,sceniak,other,2000,United Parcel Service,INS2
46,ellen,kizik,other,0,,INS2
47,jason,gabehart,other,0,,INS2
48,james,sceniak,other,0,,INS2
0,lisa,murkowski,republican,49566,KKR & Co,AKS2
1,lisa,murkowski,republican,40350,ConocoPhillips,AKS2
2,lisa,murkowski,republican,36250,Trident Seafoods,AKS2
3,lisa,murkowski,republican,34000,American Israel Public Affairs Cmte,AKS2
4,lisa,murkowski,republican,33700,BlackRock Inc,AKS2
5,lisa,murkowski,republican,32950,NextEra Energy,AKS2
6,lisa,murkowski,republican,31250,NorPAC,AKS2
7,lisa,murkowski,republican,29700,Blackstone Group,AKS2
8,lisa,murkowski,republican,25500,Alphabet Inc,AKS2
9,lisa,murkowski,republican,25400,Exelon Corp,AKS2
10,lisa,murkowski,republican,25200,Apollo Global Management,AKS2
11,lisa,murkowski,republican,24266,Saltchuk,AKS2
12,lisa,murkowski,republican,23800,Qurate Retail,AKS2
13,lisa,murkowski,republican,23200,Freedom Road LLC (Colorado),AKS2
14,lisa,murkowski,republican,23200,Hunt Companies,AKS2
15,lisa,murkowski,republican,22856,Chevron Corp,AKS2
16,lisa,murkowski,republican,22250,Wells Fargo,AKS2
17,lisa,murkowski,republican,19800,Alaska Air Group,AKS2
18,lisa,murkowski,republican,17400,Walton Family Foundation,AKS2
19,lisa,murkowski,republican,17100,Rock Holdings,AKS2
20,kelly,tshibaka,republican,34395,State of Alaska,AKS2
21,kelly,tshibaka,republican,31900,Saulsbury Industries,AKS2
22,kelly,tshibaka,republican,20800,Parts Life,AKS2
23,kelly,tshibaka,republican,17700,Petro 49,AKS2
24,kelly,tshibaka,republican,17400,Deason Capital Services,AKS2
25,kelly,tshibaka,republican,14615,"Municipality of Anchorage, AK",AKS2
26,kelly,tshibaka,republican,13400,Kirkland & Ellis,AKS2
27,kelly,tshibaka,republican,13105,State Farm Insurance,AKS2
28,kelly,tshibaka,republican,11610,Powers Brothers,AKS2
29,kelly,tshibaka,republican,11600,Peter D Austin & Assoc,AKS2
30,kelly,tshibaka,republican,11600,Cruz Construction (Alaska),AKS2
31,kelly,tshibaka,republican,11600,General Equities Inc,AKS2
32,kelly,tshibaka,republican,10675,Boeing Co,AKS2
33,kelly,tshibaka,republican,10000,Citizens United,AKS2
34,kelly,tshibaka,republican,8900,Cozy Interiors,AKS2
35,kelly,tshibaka,republican,8700,Fast Food Systems,AKS2
36,kelly,tshibaka,republican,8700,Remax Dynamic Properties,AKS2
37,kelly,tshibaka,republican,8700,Jackson Hole Mountain Resort,AKS2
38,kelly,tshibaka,republican,8300,Continental Resources,AKS2
39,kelly,tshibaka,republican,7900,Victoria Landing,AKS2
40,patricia,chesbro,democrat,2900,Kaiser Permanente,AKS2
41,patricia,chesbro,democrat,2900,Veteans Adminstraion,AKS2
42,patricia,chesbro,democrat,2800,University of California,AKS2
43,patricia,chesbro,democrat,2800,Greenfield Community College,AKS2
44,patricia,chesbro,democrat,2500,Captel Inc,AKS2
45,patricia,chesbro,democrat,2000,Levi Strauss & Co,AKS2
46,patricia,chesbro,democrat,2000,The Family Health Center,AKS2
47,patricia,chesbro,democrat,1775,State Of Alaska,AKS2
48,patricia,chesbro,democrat,1250,Lca,AKS2
49,patricia,chesbro,democrat,1100,Alphabet Inc,AKS2
50,patricia,chesbro,democrat,1000,Nfp Comms,AKS2
51,patricia,chesbro,democrat,1000,Plastic-Free Portfolio,AKS2
52,buzz,kelley,republican,0,,AKS2
0,michael,bennet,democrat,232232,Democracy Engine,COS1
1,michael,bennet,democrat,75800,American Israel Public Affairs Cmte,COS1
2,michael,bennet,democrat,66087,University of Colorado,COS1
3,michael,bennet,democrat,54300,"Paul, Weiss et al",COS1
4,michael,bennet,democrat,53300,Blackstone Group,COS1
5,michael,bennet,democrat,52500,Votesane PAC,COS1
6,michael,bennet,democrat,47450,DISH Network,COS1
7,michael,bennet,democrat,45925,Arnold & Porter Kaye Scholer,COS1
8,michael,bennet,democrat,45500,Apollo Global Management,COS1
9,michael,bennet,democrat,39025,Alphabet Inc,COS1
10,michael,bennet,democrat,36700,Wilmerhale LLP,COS1
11,michael,bennet,democrat,36605,State of Colorado,COS1
12,michael,bennet,democrat,31900,BlackRock Inc,COS1
13,michael,bennet,democrat,31400,J Street,COS1
